ID,Title,Form-factor,Category of BCI,,Type of Media,Description,Keywords,Year,Prediction,BCI forecast,Utopia/Dystopia - tech-wise,Level of invasiveness,Reality factor,Neurafictionality,Neuroptimism,Name of BCI,Author/Directed by,Distributed by,Production Company,Date
261,The Ship Who Sang,implant,"consciousness transfer, linking",,Novel,"A brainship is made by inserting the disembodied brain and nervous system or malformed body of a human being into a life-support system, and connecting it surgically to a series of computers via delicate synaptic connections.
The brain ""feels"" the ship (or any other connected peripherals) as part of its own body.",N/A,1969,2096,128,"dystopia, utopia",N/A,0.4140625,0.262376238,0.633663366,Brainship,Anne McCaffrey,N/A,N/A,1-Jan-69
262,Futurama,helmet,consciousness transfer,,sitcom,"tapping into the Matrix idea of bodies being used for batteries, the older people that stayed at this ‘Near-Death Star’ where hooked to wires pushing their consciousness into a computer generated environment. In order for visitors to get inside the 3D modeled world, they had to jack into the system through a USB connection wearing torture-like headsets complete with metal spikes attached. A zap of energy would transport the users into the system falling through a tunnel of 1’s and 0’s.",consciousness,2012,2121,110,"dystopia, utopia",Non-invasive,0.090909091,0.062893082,0.691823899,N/A,Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",1-Jan-12
263,Robocop,"exoskeleton, implant","consciousness transfer, manipulation",,Movie,Parts of the brain of the policeman reused to be built into a new “robocop” – half-human/half cyborg system,military,2014,2071,58,"dystopia, utopia",Invasive,0.137931034,0.050955414,0.369426752,N/A,Jose Padilha,Sony Pictures Releasing,"Columbia Pictures, Metro-Goldwyn-Mayer",1-Jan-14
264,Westworld,hat,"consciousness transfer, storage",,"Movie, TV Series","The cowboy hats were scanning brains and making copies of the guests allowing Delos to save those scans in the servers stored at the Valley Beyond (aka the Forge), creating a “Cradle” similar but much bigger than where Ford was hiding out. ",emulation,2018,2096,79,dystopia,Non-invasive,0.050632911,0.026143791,0.516339869,Hat,"Jonathan Nolan, Lisa Joy",Warner Bros. Television,"Bad Robot Productions, HBO Entertainment, Warner Bros. Television",1-Jan-18
265,The Quantum Thief,N/A,"cerebral defense, consciousness transfer",,Novel,"Brain emulation; Gogal Pirates; gogol piracy – defined as the 'uploading of a human mind without the victim’s knowledge, stealing their mind,' disconnecting or disassociating the mind from its human prime; creating a discontinuity of the soul.",emulation,2010,2121,112,dystopia,N/A,0.107142857,0.074534161,0.695652174,Gogol,Hannu Rajaniemi,N/A,N/A,1-Jan-10
266,Possessor: Uncut,N/A,"consciousness transfer, knowledge upload",,Movie,"""possessor"": a contract killer whose consciousness is implanted into the body of another person in order to carry out an assassination.",assasination,2020,2121,102,dystopia,N/A,0.019607843,0.013245033,0.675496689,N/A,Brandon Cronenberg,N/A,"Particular Crowd, Rhombus Media",1-Jan-20
267,Criminal,headset,consciousness transfer,,Movie,"One time usage, transfer of the knowledge",knowledge,2016,2121,106,utopia,Non-invasive,0.056603774,0.038709677,0.683870968,N/A,Ariel Vromen,Lionsgate Premiere,"Millennium Films, Summit Entertainment",1-Jan-16
268,The Winter Market,N/A,consciousness transfer,,Short Story,"consciousness is separated from the body and ""uploaded"" into a supercomputer, where it continues to think and function on its own.",consciousness,1986,2121,136,"dystopia, utopia",N/A,0.264705882,0.194594595,0.735135135,N/A,William Gibson,N/A,N/A,1-Jan-86
269,Count Zero,N/A,"consciousness transfer, memory",,Novel,"A biography that includes actual life experience from the subject; a biographical download.
",BIO,1986,2121,136,"dystopia, utopia",N/A,0.264705882,0.194594595,0.735135135,Biosoft,William Gibson,N/A,N/A,1-Jan-86
270,Count Zero,cover,"consciousness transfer, memory",,Novel,"A cover specially made to protect one's microsoft socket; a tongue retainer for your brain.
",N/A,1986,2031,46,utopia,N/A,0.782608696,0.194594595,0.248648649,Dustplug,William Gibson,N/A,N/A,1-Jan-86
271,Joe 90,tool,"knowledge upload, recording brain activity",,"Novel, TV Series, comics","The ""BIG RAT"" (Brain Impulse Galvanoscope Record And Transfer), a machine capable of recording knowledge and experience from leading experts in various fields and transferring it to another human brain. At the heart of the design is the ""Rat Trap"": a spherical, rotating cage in which a subject is seated during the transfer of ""brain patterns"".",knowledge,1968,2121,154,utopia,Non-invasive,0.350649351,0.266009852,0.75862069,BIG RAT,"Gerry Anderson, Sylvia Anderson",ITC Entertainment,Century 21 Productions,1-Jan-68
272,Hostile Waters Antaeus Rising,N/A,"consciousness transfer, knowledge upload, linking, storage",,game,"On board are a series of ""soulcatcher"" chips, a classified 1990s military program researched into for the storage of human brain functions on a silicon chip. The soulcatcher technology was used to store the minds of every crew member ever assigned to an Antaeus vessel.",military,2001,2146,146,dystopia,N/A,0.143835616,0.123529412,0.858823529,soulcatcher chips,N/A,N/A,N/A,1-Jan-01
273,Down and Out in the Magic Kingdom,N/A,"consciousness transfer, knowledge upload, memory, storage",,Novel,"""Refresh"" or a ""restore from backup"" is the cure for dying; which consists of creating a ""force-grown"" clone and downloading into its mind a backup of one's own mind created earlier. Synthesized memories (from other data sources filling in the time gap between last backup and death) were an innovation created in the book.","backup, clones, eternal life",2003,2146,144,"dystopia, utopia",N/A,0.131944444,0.113095238,0.857142857,N/A,Cory Doctorow,N/A,N/A,1-Jan-03
274,Upload,"MRI, chair, glasses, headset, software, tool",consciousness transfer,,TV Series,Uploading consciousness into computer for an afterlife experience.,"XR, consciousness, digital clones, eternal life, hologram",2020,2121,102,"dystopia, utopia",Non-invasive,0.019607843,0.013245033,0.675496689,Horizen System,Greg Daniels,Amazon Prime Video,"3 Arts Entertainment, Amazon Studios, Deedle-Dee Productions",1-Jan-20
275,Accelerando,N/A,consciousness transfer,,Short Story,Uploading consciousness into computer,consciousness,2005,2121,117,"dystopia, utopia",N/A,0.145299145,0.102409639,0.704819277,N/A,Charles Stross,N/A,N/A,1-Jan-05
276,Learning to be me (Axiomatic) ,implant,"consciousness transfer, reading thoughts, recording brain activity",,Short Story,"neural implant called a ""jewel""—a small computer inserted into the brain at birth that monitors its activity in order to learn how to mimic its behavior. By the time one reaches adulthood, the jewel's simulation is a near-perfect predictor of the brain's activity, and the jewel is given control of the person's body while the redundant brain is discarded. In this way, people with the jewel can eliminate the cognitive decline associated with aging by implementing their minds on a machine. Also, by transplanting the jewels into cloned bodies genetically altered to develop without brains, they can live youthfully forever.","clones, eternal life, stimulations",1995,2146,152,"dystopia, utopia",Invasive,0.177631579,0.153409091,0.863636364,jewel,Greg Egan,N/A,N/A,1-Jan-95
277,Closer (Axiomatic),implant,"consciousness transfer, reading thoughts, recording brain activity",,Short Story,"neural implant called a ""jewel""—a small computer inserted into the brain at birth that monitors its activity in order to learn how to mimic its behavior. By the time one reaches adulthood, the jewel's simulation is a near-perfect predictor of the brain's activity, and the jewel is given control of the person's body while the redundant brain is discarded. In this way, people with the jewel can eliminate the cognitive decline associated with aging by implementing their minds on a machine. Also, by transplanting the jewels into cloned bodies genetically altered to develop without brains, they can live youthfully forever.
in ""Closer"" a couple arranges to have the internal states of their jewels gradually made more similar so they can temporarily become a single person.","clones, eternal life, stimulations",1995,2146,152,"dystopia, utopia",Invasive,0.177631579,0.153409091,0.863636364,jewel,Greg Egan,N/A,N/A,1-Jan-95
278,Permutation City,tool,"XR, consciousness transfer",,Novel,"Within the story, ""Copies"" – digital renderings of human brains with complete subjective consciousness, the technical descendants of ever more comprehensive medical simulations – live within VR environments after a process of ""scanning"". Copies are the only objects within VR environments that are simulated in full detail, everything else being produced with varying levels of generalisation, lossy compression, and hashing at all times.","XR, digital clones, medical",1994,2146,153,"dystopia, utopia",N/A,0.183006536,0.15819209,0.86440678,Copies,Greg Egan,N/A,N/A,1-Jan-94
